,Blue,Red,Green,S Line,FrontRunner
Salt Lake Central Station,1,0,0,0,9
Old Greektown Station,2,0,0,0,0
Planetarium Station,3,0,0,0,0
Arena Station,4,0,12,0,0
Temple Square Station,5,0,11,0,0
City Center Station,6,0,10,0,0
Gallivan Plaza Station,7,0,9,0,0
Courthouse Station,8,8,8,0,0
900 South Station,9,9,7,0,0
Ballpark Station,10,10,6,0,0
Central Pointe Station,11,11,5,7,0
Millcreek Station,12,12,0,0,0
Meadowbrook Station,13,13,0,0,0
Murray North Station,14,14,0,0,0
Murray Central Station,15,15,0,0,10
Fashion Place West Station,16,16,0,0,0
Midvale Fort Union Station,17,0,0,0,0
Midvale Center Station,18,0,0,0,0
Historic Sandy Station,19,0,0,0,0
Sandy Expo Station,20,0,0,0,0
Sandy Civic Center Station,21,0,0,0,0
Crescent View Station,22,0,0,0,0
Kimballs Lane Station,23,0,0,0,0
Draper Town Center,24,0,0,0,0
University Medical Center,0,1,0,0,0
Fort Douglas Station,0,2,0,0,0
University South Campus Station,0,3,0,0,0
Stadium Station,0,4,0,0,0
900 East Station,0,5,0,0,0
Trolley Station,0,6,0,0,0
Library Station,0,7,0,0,0
Bingham Junction Station,0,17,0,0,0
Historic Gardner Station,0,18,0,0,0
West Jordan City Center Station,0,19,0,0,0
2700 W Sugar Factory Rd Station,0,20,0,0,0
Jordan Valley Station,0,21,0,0,0
4800 W Old Bingham Hwy Station,0,22,0,0,0
5600 W Old Bingham Hwy Station,0,23,0,0,0
South Jordan Parkway Station,0,24,0,0,0
Daybreak Parkway Station,0,25,0,0,0
West Valley Central Station,0,0,1,0,0
Decker Lake Station,0,0,2,0,0
Redwood Junction Station,0,0,3,0,0
River Trail Station,0,0,4,0,0
North Temple Bridge/Guadalupe,0,0,13,0,0
Jackson/Euclid Station,0,0,14,0,0
Fairpark Station,0,0,15,0,0
Power Station,0,0,16,0,0
North Temple Station,0,0,17,0,8
Airport Station,0,0,18,0,0
Fairmont Station,0,0,0,1,0
Sugarmont Station,0,0,0,2,0
700 East Station,0,0,0,3,0
500 East Station,0,0,0,4,0
300 East Station,0,0,0,5,0
South Salt Lake City Station,0,0,0,6,0
Pleasant View Station,0,0,0,0,1
Ogden Station,0,0,0,0,2
Roy Station,0,0,0,0,3
Clearfield Station,0,0,0,0,4
Layton Station,0,0,0,0,5
Farmington Station,0,0,0,0,6
Woods Cross Station,0,0,0,0,7
South Jordan Station,0,0,0,0,11
Draper Station,0,0,0,0,12
Lehi Station,0,0,0,0,13
American Fork Station,0,0,0,0,14
Orem Central Station,0,0,0,0,15
Provo Central Station,0,0,0,0,16
